variable,n_total,n_missing_original,n_dotD_string,n_non_numeric_to_nan,n_out_of_domain_to_nan,n_missing_after_clean,n_new_nans_introduced,valid_values
FDR3a_LB,3115,2917,0,0,0,2917,0,"0,1,2,3"
FDR2a_LB,3115,2408,0,0,0,2408,0,"0,1,2,3"
DME47a_LB,3115,222,0,0,0,222,0,"0,1,2,3"
DME51_2_LB,3115,217,0,0,0,217,0,"0,1,2,3"
b_ativfisica,3115,200,0,0,0,200,0,"1,2,3"
b_fumante,3115,192,0,0,0,192,0,"0,1,2"
b_usodealcool,3115,200,0,0,0,200,0,"0,1,2"
B_BINGE/b_binge,3115,201,0,0,0,201,0,"0,1"
b_bebexcessivo,3115,200,0,0,0,200,0,"0,1"
DME49_LB,3115,218,0,0,0,218,0,"0,1"
FDR5_LB,3115,223,0,0,0,223,0,"0,1"
FDR6_LB,3115,219,0,0,0,219,0,"0,1"
FDR7_LB,3115,222,0,0,0,222,0,"0,1"
rcta8(sex_raw),3115,0,0,0,0,0,0,"1,2"
