feature,coef,abs_coef,is_zero
skeletal_muscle_mass_kg,0.0,0.0,True
occ_stairs,0.0,0.0,True
hypertension,0.0,0.0,True
sit_stand_test,0.0,0.0,True
mineral_mass_kg,0.0,0.0,True
abdominal_obesity,0.0,0.0,True
income_family_midpoint,0.0,0.0,True
education_mother,0.0,0.0,True
education_w2,0.0,0.0,True
education_w1,0.0,0.0,True
framingham_cvd_model2,0.0,0.0,True
framingham_cvd_model1,0.0,0.0,True
framingham_chd_ldl,0.0,0.0,True
framingham_chd_chol,0.0,0.0,True
low_hdl,0.0,0.0,True
hypertriglyceridemia,0.0,0.0,True
metabolic_syndrome_NCEP,0.0,0.0,True
metabolic_syndrome_IDF,0.0,0.0,True
metabolic_syndrome_JIS,0.0,0.0,True
race_raw_1,0.0,0.0,True
race_raw_2,0.0,0.0,True
income_per_capita,0.0,0.0,True
physical_activity_ipaq_2,0.0,0.0,True
physical_activity_ipaq_1,0.0,0.0,True
smoking_status_2,0.0,0.0,True
occupation_2,0.0,0.0,True
occupation_3,0.0,0.0,True
alcohol_use_2,0.0,0.0,True
alcohol_use_1,0.0,0.0,True
alcohol_use_0,0.0,0.0,True
education_w1_4,0.0,0.0,True
education_w1_2,0.0,0.0,True
education_w1_1,0.0,0.0,True
education_w2_1,0.0,0.0,True
education_w2_3,0.0,0.0,True
education_mother_1,0.0,0.0,True
education_mother_2,0.0,0.0,True
education_mother_3,0.0,0.0,True
