Feature,Importance_Mean,Importance_Std,Model
age,0.06551126424089977,0.016407975330769337,XGBoost
bmi,0.052499840421432874,0.01635266819977819,XGBoost
history_surgery,0.02919651820312014,0.008100032684828364,XGBoost
framingham_cvd_model2,0.01620734966563263,0.012028042291126818,XGBoost
history_trauma,0.012998399633272545,0.004547813823118396,XGBoost
framingham_cvd_model1,0.011239967111079672,0.007821054272884377,XGBoost
frequent_symptoms,0.009244018068848664,0.004362637321189334,XGBoost
occupation_4,0.0054069988817831,0.003548740378522192,XGBoost
race_raw_3,0.004401489390264208,0.0020087445096848874,XGBoost
knee_disability,0.004259626081827231,0.003433217454533035,XGBoost
occ_squatting,0.003245666824781055,0.0061063041366251685,XGBoost
recent_pain_7d,0.0030615961956288683,0.0034426469670650306,XGBoost
smoking_status_0,0.001799841990001405,0.001976356704338223,XGBoost
race_raw_4,0.0016666866101034872,0.001803548304880148,XGBoost
race_raw_-1,0.0011495794727515829,0.0013669459139461187,XGBoost
framingham_chd_chol,0.0011273634191064819,0.005561257864746959,XGBoost
low_hdl_meds,0.0007713085959412025,0.0017653659787205396,XGBoost
race_raw_2,0.0004815501194673244,0.0009821373248982482,XGBoost
occ_kneeling,0.00030354205549114165,0.001186928383034773,XGBoost
hypertrig_meds,0.0002709048708275796,0.0018676473770391545,XGBoost
hypertriglyceridemia,0.00023903345406291798,0.0011124780099779213,XGBoost
metabolic_syndrome_JIS,0.00010237292311363611,0.0016191196623418305,XGBoost
physical_activity_ipaq_2,7.464946921380556e-05,0.000968898019372685,XGBoost
smoking_status_-1,0.0,0.0,XGBoost
alcohol_use_-1,0.0,0.0,XGBoost
physical_activity_ipaq_-1,0.0,0.0,XGBoost
abdominal_obesity,-4.021360090424863e-06,0.0017868692758476244,XGBoost
smoking_status_2,-5.17897811390311e-05,0.001972208970326177,XGBoost
occupation_-1,-5.216492004552098e-05,0.00034316773583131647,XGBoost
low_hdl,-6.289471730388297e-05,0.0007041580523018441,XGBoost
race_raw_5,-9.953430105976934e-05,0.0011891776410030079,XGBoost
alcohol_use_0,-0.0001520665292457757,0.0015442271983249585,XGBoost
metabolic_syndrome_IDF,-0.00015762601002415887,0.00043042019911185964,XGBoost
alcohol_binge,-0.00017025201117593092,0.0011668544493525917,XGBoost
smoking_status_1,-0.00020107843132870064,0.0009356085333787682,XGBoost
sex_female,-0.00021585207094525493,0.0012471505943212914,XGBoost
metabolic_syndrome_NCEP,-0.0002362702744905709,0.0009188387742642897,XGBoost
diabetes,-0.0003221532337723465,0.00115458661363188,XGBoost
sit_stand_test,-0.00033728526170778483,0.006436527660146328,XGBoost
physical_activity_ipaq_3,-0.0003861358293758599,0.0008117231937182919,XGBoost
framingham_chd_ldl,-0.0004395984874758785,0.0036285670239833566,XGBoost
occupation_3,-0.0004763691843569662,0.0011132941000895568,XGBoost
alcohol_excessive,-0.0005424226633768425,0.0009757053980573717,XGBoost
physical_activity_ipaq_1,-0.0006037414145288089,0.0008481740719772189,XGBoost
occupation_2,-0.0006180145059348075,0.0013021578305756562,XGBoost
occupation_1,-0.0006710291090172404,0.0010574671972403415,XGBoost
race_raw_1,-0.0007304716785808108,0.001009106739450955,XGBoost
alcohol_use_2,-0.0007690603151030651,0.0018177917722970243,XGBoost
occ_stairs,-0.0008360779099080861,0.0012596879730755422,XGBoost
alcohol_use_1,-0.0009940853311946496,0.0012132969365575958,XGBoost
hypertension,-0.0011974304943250403,0.0019519561279143743,XGBoost
waist_hip_ratio,-0.004736845224628703,0.005711082493790709,XGBoost
